Gracja,Kowalczyk,ul. Marciszewska ,5,Zawiercie,42-400,1960,15,8,46,O-,71.3,169
Mariusz,Sokołowski,ul. Iwaszkiewicza Jarosława ,14,Łódź,91-160,1998,23,3,71,A+,67.9,163
Alojzy,Szczepański,ul. Krótka ,112,Racibórz,47-403,1993,8,12,73,B+,67.7,164
Danuta,Gorska,ul. Balladyny ,78,Zielona Góra,65-323,2013,18,1,83,A+,78.7,153
Izolda,Czerwinska,ul. Mgielna ,109,Lublin,20-833,1977,26,8,40,O+,95.6,155
Ela,Zawadzka,ul. Morska ,80,Poznań,60-480,1963,10,12,17,A+,55.9,154
Longin,Zawadzki,ul. Klinowa ,76,Łódź,91-156,1952,8,2,1,O+,12.9,72
Brygida,Tomaszewska,ul. Kujawska ,34,Bydgoszcz,85-146,1950,21,1,81,O+,83.7,155
Roksana,Borkowska,Al. Politechniki ,22,Łódź,93-502,2016,14,10,66,AB-,55.0,170
Krysia,Nowakowska,Al. Zwycięstwa ,108,Gdańsk,80-210,1972,22,10,75,B+,76.9,162
Dita,Borkowska,ul. Klonowa ,112,Ruda Śląska,41-707,1965,20,3,16,B+,51.6,169
Klemens,Adamski,ul. Solistów ,64,Warszawa,02-879,2012,23,8,83,O+,59.5,172
Urjasz,Michalski,ul. Mundurowa ,132,Łódź,94-235,1960,20,8,59,A+,69.3,180
Kornelia,Majewska,ul. Warsztatowa ,62,Szczecin,70-713,1992,13,4,55,O-,75.6,155
Dobrosław,Jasiński,ul. Bobrowa ,39,Kielce,25-823,1954,23,3,16,O+,71.7,166
Wioletta,Nowak ,ul. Pojezierska ,95,Łódź,91-338,1979,24,8,55,O+,87.4,161
Bratumił,Czarnecki,ul. Batalionów Chłopskich ,129,Częstochowa,42-209,1976,21,3,49,O+,92.4,182
Wiktor,Chmielewski,ul. Jeżynowa ,44,Zielona Góra,65-124,1986,6,12,78,B+,65.8,177
Konstancja,Rutkowska,ul. Krokwi ,91,Warszawa,03-114,1935,25,3,57,O+,78.6,165
Honorata,Dudek,ul. Bagnowska ,104,Białystok,15-189,1971,4,12,18,B+,64.7,160
Sobiesław,Ostrowski,ul. Radosna ,128,Bydgoszcz,85-836,1988,24,2,24,A+,77.3,171
Włodzimierz,Sobczak,ul. Żywiecka ,26,Kobiernice,43-356,1979,24,8,4,B+,14.1,98
Elżbieta,Sobczak,ul. Dekerta Jana ,123,Dąbrowa Górnicza,41-300,2006,21,9,39,A+,57.7,167
Sulisław,Wieczorek,ul. Rynkowa ,34,Warszawa,02-495,2008,25,9,53,O+,66.1,170
Asia,Wieczorek,ul. Wiklinowa ,14,Lublin,20-541,1947,31,10,64,O+,84.3,153
Wojciech,Adamczyk,ul. Kościuszki Tadeusza ,52,Katowice,40-519,1954,24,3,67,AB+,101.9,173
Tekla,Kamińska,ul. Śląska ,10,Gdynia,81-304,1986,10,10,0,B+,4.4,51
Jarosława,Grabowska,ul. Pawia ,11,Warszawa,01-058,2005,27,9,44,O+,90.1,172
Wawrzyniec,Nowicki,ul. Agrestowa ,6,Olsztyn,10-327,1995,13,2,52,O+,111.5,186
Leokadia,Jaworska,ul. Jaśminowa ,70,Kędzierzyn-Koźle,47-220,1994,19,8,5,B+,14.9,117
Jacenty,Kozłowski,ul. Sewastopolska ,130,Wrocław,51-203,1967,27,11,56,O+,70.5,184
Ferdynand,Zawadzki,ul. Zagonowa ,3,Łódź,91-232,1953,10,2,25,AB-,59.5,188
Dawid,Nowak ,ul. Grunwaldzka ,137,Sopot,81-759,1996,19,10,62,B-,79.5,169
Franciszek,Kamiński,ul. Kraszewskiego ,79,Golasowice,43-252,1984,18,9,37,A+,114.6,187
Benedykta,Pawlak,ul. Salomejska ,119,Warszawa,02-283,2012,4,6,41,O-,73.8,171
Miłosław,Pawłowski,ul. Bałtycka ,71,Białystok,15-611,1947,2,10,30,B+,104.0,173
Justyn,Kamiński,ul. Wiślana ,97,Szczecin,70-885,1956,14,2,82,B+,60.4,176
Jagoda,Nowak ,ul. Powroźnicza ,50,Warszawa,04-466,1992,26,8,46,O+,71.3,154
Henio,Walczak,ul. Dalibora ,39,Warszawa,01-439,1980,20,7,29,O+,102.7,181
Jaropełk,Wojciechowski,ul. Kwitnąca ,16,Warszawa,01-926,2000,2,10,37,A+,112.0,188
Kazimiera,Majewska,ul. Pleszewska ,105,Poznań,61-136,2008,4,8,11,O+,32.9,148
Stanisław,Czarnecki,ul. Słoneczna ,125,Gorlice,38-302,2005,11,1,9,O+,29.9,134
Klemens,Sawicki,ul. Porazińskiej Janiny ,17,Poznań,60-195,1963,20,9,69,O+,104.8,170
Tobiasz,Kowalczyk,ul. Szyszkowa ,148,Warszawa,02-285,1955,12,8,63,O+,69.5,186
Apolonia,Sobczak,ul. Borowinowa ,69,Dąbrowa Górnicza,42-522,2008,28,7,31,O-,60.3,171
Gustaw,Kowalczyk,ul. Kościuszki Tadeusza ,50,Koszalin,75-404,1996,6,3,12,B+,50.8,152
Ksawery,Duda,ul. Boliny ,4,Mysłowice,41-400,1966,6,1,22,B+,83.2,188
Marcelina,Adamska,ul. Wolności ,128,Gdańsk,80-538,2003,11,10,22,B+,62.7,172
Anastazja,Adamska,ul. Snycerska ,130,Łódź,90-953,1956,10,9,49,O-,76.6,167
Tadeusz,Kowalski,ul. Gołębia ,15,Olsztyn,11-041,1946,24,5,64,O+,67.7,183
Krystiana,Kwiatkowska,ul. Miczurina Iwana ,97,Świętochłowice,41-600,1968,16,8,21,B+,97.6,170
Basia,Wysocka,ul. Żarska ,35,Żagań,68-101,1966,31,5,33,O+,53.0,155
Genowefa,Król,ul. Powstańców Śląskich ,73,Wrocław,53-332,1993,3,9,4,B+,15.2,96
Mateusz,Król,ul. Kacza ,125,Łódź,91-504,1932,17,11,69,B+,107.2,178
Alojzy,Jasiński,ul. Marmurowa ,109,Białystok,15-881,1988,12,5,61,B+,70.9,173
Weronika,Dąbrowski ,ul. Stołczyńska ,28,Szczecin,71-870,1993,25,9,24,A+,90.2,156
Celina,Majewska,ul. Czarnieckiego Stefana ,63,Kielce,25-136,2013,11,1,37,O+,69.2,157
Wiga,Kowalczyk,ul. Suchy Jar ,106,Kraków,31-983,1962,7,1,17,B+,62.4,164
Asia,Kaczmarek,ul. Wysockiego Piotra ,142,Łódź,93-148,1945,15,7,9,A-,28.2,134
Jarosław,Duda,ul. Dojazdowa ,119,Lublin,20-259,1937,24,12,11,A-,32.0,146
Mikolaj,Nowakowski,ul. Słowackiego ,21,Jarosław,37-505,1969,8,12,53,A+,92.3,180
Stanisława,Kamińska,ul. Dzierzkowska ,23,Radom,26-610,1993,13,1,62,A-,75.5,153
Klemens,Wiśniewski,ul. Perkuna ,129,Szczecin,70-701,1999,10,1,9,O+,32.8,145
Bożena,Jaworska,ul. Filarecka ,86,Łódź,94-216,2007,13,1,21,O+,54.8,171
Justyn,Dąbrowski ,ul. Drzymały Michała ,7,Gliwice,44-103,2003,10,10,50,B+,82.1,169
Kazimierz,Sobczak,ul. Gwintowa ,139,Warszawa,00-704,1951,24,12,13,O+,55.0,147
Salomea,Sokołowska,Al. Niepodległości ,1,Warszawa,02-570,1994,30,4,61,A+,70.8,161
Klaudia,Pawłowska,ul. Czesława Niemena ,40,Rzeszów,35-111,1939,8,6,71,O+,62.4,167
Egidiusz,Nowakowski,ul. Muzealna ,23,Opole,45-026,1999,30,9,48,B+,78.1,177
Iwona,Pawłowska,ul. Wygodna ,83,Warszawa,04-622,2003,2,8,51,O+,60.1,155
Wisia,Jabłońska,ul. Andromedy ,83,Warszawa,01-934,1971,19,12,23,B+,63.4,158
Teodozja,Kowalczyk,ul. Nasturcjowa ,45,Białystok,15-591,1965,30,9,84,B+,75.0,169
Izaak,Nowicki,ul. Różowa ,113,Opole,45-417,1947,10,2,29,O-,85.0,168
Konstantyn,Zając,ul. Broniewskiego Władysława ,73,Opole,45-461,1971,24,6,24,O-,93.0,182
Makary,Piotrowski,ul. Wiktorska ,105,Warszawa,02-587,1934,19,5,4,O+,16.2,105
Cibor,Nowicki,ul. Jagodowa ,78,Ruda Śląska,41-707,1975,24,8,55,O+,76.7,180
Salomea,Borkowska,ul. Kuśnierska ,89,Gdańsk,80-830,1988,25,8,72,O+,71.9,167
Tekla,Pawlak,ul. Obrońców Poczty Gdańskiej ,127,Kraków,30-326,1947,22,11,79,B+,61.2,153
Jowita,Sobczak,ul. Artyleryjska ,66,Olsztyn,10-166,1985,10,7,48,O+,61.0,154
Świętosław,Pawłowski,ul. Konwalii ,76,Mikołów,43-190,2008,5,9,23,O+,89.9,168
Albin,Nowak ,ul. Firoga ,113,Gdańsk,80-298,1976,7,9,17,B-,51.9,178
Alfons,Ostrowski,ul. 29 Listopada ,82,Warszawa,00-465,1989,18,6,10,O+,27.0,142
Basia,Jabłońska,ul. Morelowa ,36,Kraków,30-222,1958,20,11,13,O+,47.0,153
Radzimierz,Kowalski,ul. Cynkowa ,33,Katowice,40-239,2004,29,3,66,O+,62.9,166
Teodozja,Kozłowska,ul. Mickiewicza Adama ,48,Białystok,15-222,1951,25,3,23,A+,85.9,172
Radomił,Rutkowski,ul. Rokosowska ,15,Warszawa,02-348,1989,2,7,78,O+,63.1,174
Dobrosława,Nowicka,ul. Majora Dobrzańskiego Henryka Hubala ,79,Rzeszów,35-328,1933,9,9,17,B+,59.9,166
Sylwester,Wysocki,ul. Nowotarska ,42,Poznań,61-318,2009,8,5,14,A+,51.2,170
Bolesław,Czerwinski,ul. Rabsztyńska ,137,Warszawa,01-143,1994,4,9,45,A+,95.1,168
Wincenty,Jabłoński,ul. Księdza Augustynika Grzegorza ,62,Dąbrowa Górnicza,41-300,1935,3,5,52,AB+,85.6,178
Augustyna,Michalska,Pl. Borna Maxa ,16,Wrocław,50-204,1954,19,9,69,A+,94.6,156
Marcin,Piotrowski,ul. Rąbieńska ,132,Łódź,94-227,1997,10,6,46,O+,92.0,169
Janek,Sawicki,ul. Rybnika Aleksandra ,59,Białystok,15-645,1951,30,5,83,O-,61.6,176
Lesława,Kamińska,ul. Plater Emilii ,141,Olsztyn,10-562,1993,2,5,42,O+,99.8,162
Karolina,Kozłowska,ul. Łucznicza ,54,Warszawa,02-982,2008,7,12,28,A+,62.6,154
Leokadia,Czarnecka,ul. Profesora Paszkowskiego Wacława ,18,Warszawa,02-507,1939,10,7,70,B+,90.4,164
Honorata,Nowicka,Al. Dojazdowa ,106,Chorzów,41-500,1976,20,10,31,A+,64.9,173
Amadeusz,Pawlak,ul. Ziemowita ,53,Wrocław,53-678,1981,16,10,8,A+,29.1,117
Wiktoria,Wiśniewska,ul. Obozowa ,5,Poznań,60-289,1950,11,9,40,B+,104.5,158
Agnieszka,Tomaszewska,ul. Królika Teofila ,130,Tarnowskie Góry,42-600,1959,13,8,28,A+,56.3,175
Kondrat,Zielinski,ul. Podgórna ,60,Koszalin,75-336,2002,4,5,59,B+,71.2,170
Ksenia,Sawicka,ul. Powstańców Śląskich ,56,Wrocław,53-333,1989,2,1,13,B+,54.6,156
Kasia,Kowalczyk,ul. Żeromskiego ,88,Ostrołęka,07-417,2008,12,8,66,A+,55.8,170
Mścisław,Kowalczyk,ul. Transportowa ,136,Szczecin,70-715,1997,28,9,27,O+,79.0,184
Jarek,Zielinski,ul. Chałubińskiego Tytusa ,137,Gdańsk,80-807,1981,5,12,83,B+,95.2,173
Mirosława,Adamska,ul. Balicka ,22,Warszawa,02-495,1972,9,5,8,A+,31.2,139
Hieronim,Michalski,ul. Patriotów ,52,Warszawa,04-804,2002,5,6,23,O-,87.0,182
Brygida,Woźniak,ul. Gronostajowa ,137,Gdańsk,80-190,2015,23,4,82,B+,74.5,158
Włodek,Kaczmarek,ul. Złota ,106,Kielce,25-015,1948,18,3,63,A+,64.0,186
Miłosz,Dąbrowski ,ul. Czereśniowa ,32,Szczecin,71-085,1972,16,11,19,O+,92.9,189
Maksym,Rutkowski,ul. Piwna ,17,Opole,45-057,1998,10,9,65,B+,96.3,166
Hanna,Maciejewska,ul. Beskidzka ,115,Wrocław,54-006,1983,31,5,24,A+,94.5,159
Janek,Nowicki,ul. Huta Rozalii ,12,Mysłowice,41-400,1987,31,7,9,B+,37.0,139
Janusz,Kalinowski,ul. Parkowa ,137,Szczecin,71-621,1967,22,6,78,A+,60.7,167
Marek,Adamski,ul. Piasta Kołodzieja ,122,Kraków,31-626,2002,23,5,41,B+,69.4,178
Sylwester,Jabłoński,ul. Drużbackiej Elżbiety ,71,Poznań,60-745,1947,16,8,36,O+,67.3,168
Justyna,Nowicka,ul. Bażantów ,34,Katowice,40-668,2010,24,10,66,B+,80.8,164
Barbara,Kozłowska,ul. 1 Maja ,39,Katowice,40-229,1974,19,2,58,A+,103.1,164
Grzegorz,Czarnecki,ul. Sokola ,88,Łódź,93-525,1959,5,2,15,A+,81.2,158
Michalina,Rutkowska,ul. Okrężna ,54,Warszawa,02-925,1962,25,2,28,A+,58.1,158
Miłosław,Rutkowski,ul. Malborska ,40,Warszawa,03-286,1960,16,5,9,B+,24.9,126
Ludmiła,Adamczyk,ul. Poznańska ,32,Kraków,30-012,2005,28,5,20,A-,73.0,152
Edyta,Wysocka,ul. Wielichowska ,129,Poznań,61-418,1963,19,3,36,O+,68.2,154
Seweryna,Zając,Al. Jana Pawła II,98,Kraków,31-982,1940,23,6,45,O+,83.2,170
Kacper,Nowak ,ul. Rybitwy ,73,Białystok,15-587,2000,10,11,14,A+,61.5,176
Bazyli,Sobczak,ul. Fabryczna ,19,Katowice,40-611,2012,1,3,2,B+,15.5,93
Zoja,Dudek,ul. Boczna ,81,Zawiercie,42-400,1992,27,3,69,O+,65.3,164
Wincenty,Kowalczyk,ul. Okólna ,120,Bydgoszcz,85-889,1976,5,11,44,O+,66.9,174
Walentyna,Piotrowska,ul. Olimpijczyka ,58,Racibórz,47-445,1995,13,12,18,A-,51.4,161
Lesław,Kucharski,ul. Conrada Josepha ,124,Kraków,31-357,2007,29,12,33,AB+,93.9,184
Jacek,Zawadzki,ul. Kościuszki ,107,Garwolin,08-400,1962,4,6,30,O+,63.3,176
Mścisław,Maciejewski,ul. Podmokła ,61,Białystok,15-591,1984,5,3,50,B+,65.1,176
Jarosława,Kowalczyk,ul. Powstańców Śląskich ,122,Skrzyszów,44-348,2002,16,10,14,O-,58.7,160
Bolek,Michalski,ul. Kasztanowa ,17,Kędzierzyn-Koźle,47-206,2011,26,3,70,O+,69.6,173
Walentyna,Kowalska,ul. Gałczyńskiego Konstanytego ,123,Zabrze,41-819,1933,28,11,6,B+,19.4,115
Hieronim,Michalski,ul. Bukowska ,118,Poznań,60-555,1948,16,12,42,A+,81.9,178
Dorofiej,Jabłoński,ul. Więzowska ,52,Poznań,61-403,1997,27,6,58,A+,103.5,167
Klaudia,Pawlak,ul. Frycza Modrzewskiego Andrzeja ,91,Łódź,93-373,1933,29,8,55,A+,94.7,153
Mieczysław,Jaworski,Al. Mickiewicza Adama ,4,Łódź,90-053,1969,8,11,56,A+,94.7,187
Kinga,Kozłowska,ul. Spójni ,143,Warszawa,03-604,1999,11,4,12,B+,43.4,151
Świętosław,Gorski,ul. Zaścianek Bohatyrowicze ,26,Łódź,91-523,1979,15,6,54,B+,81.6,178
Kaja,Borkowska,ul. Golędzinów ,8,Warszawa,03-312,1986,3,12,76,A+,59.4,164
Lechosław,Kucharski,ul. Dorszowa ,73,Łódź,93-460,1984,9,8,17,B+,58.1,165
Racław,Michalski,ul. Widok ,84,Kraków,31-564,1949,6,12,4,B+,13.4,97
Cibor,Duda,ul. Ordynacka ,66,Warszawa,00-369,1999,10,10,24,A+,99.8,173
Edyta,Zawadzka,ul. 3 Maja ,46,Rybnik,44-200,1934,9,7,41,O+,87.1,158
Tadeusz,Gorski,ul. Zaczarowane Koło ,123,Kraków,30-087,2004,20,6,22,B+,105.5,183
Witołd,Wieczorek,ul. Grabskiego Władysława Jana ,75,Warszawa,02-496,1942,29,12,9,B+,32.9,138
Kazimierz,Wieczorek,ul. Kanadyjska ,119,Wrocław,54-402,1977,19,6,55,A+,104.0,188
Hainrich,Kowalczyk,ul. Księdza Trószyńskiego Zygmunta ,72,Warszawa,01-693,2003,6,4,33,O+,85.7,181
Eugeniusz,Czarnecki,ul. Wejherowska ,78,Gdynia,81-042,1973,19,9,14,A+,44.6,171
Józefa,Adamska,ul. Dworcowa ,54,Olsztyn,10-436,1954,16,11,5,O+,15.6,112
Celestyna,Nowakowska,ul. Prożka Franciszka ,114,Łódź,91-335,1986,28,1,84,B+,76.7,158
Krystyna,Wieczorek,ul. Cyprysowa ,18,Łódź,91-365,1964,27,4,69,B+,78.4,161
Beatrycze,Sobczak,ul. Bakalarza Edmunda ,135,Radom,26-613,1941,1,7,20,B+,72.5,160
Dariusz,Kucharski,ul. Zagaje ,2,Kraków,30-437,1936,24,3,84,O+,101.0,179
Dariusz,Kaczmarek,ul. Szczęśliwa ,64,Wrocław,53-445,1975,3,5,48,A+,92.9,168
Halina,Zielinska,ul. Rynek ,11,Myślibórz,74-300,1987,27,3,18,O+,45.5,161
Kajetan,Dąbrowski ,ul. Karkonoska ,48,Karpacz,58-550,1996,6,12,37,A+,108.2,188
Wiesław,Rutkowski,ul. Myśliborska ,86,Warszawa,03-189,1974,30,1,31,O+,92.8,173
Henryk,Dąbrowski ,ul. Czarnieckiego Stefana ,55,Olsztyn,11-041,1989,23,6,33,A-,107.7,175
Fryderyk,Sawicki,ul. Zarankiewicza Kazimierza ,53,Warszawa,02-152,1954,10,5,68,A+,101.2,177
Nikodem,Majewski,ul. Waryńskiego Ludwika ,148,Warszawa,00-636,1937,6,7,18,A+,68.2,178
Beatrycze,Wieczorek,ul. Arcybiskupa Gawliny Józefa ,116,Racibórz,47-406,1937,16,5,83,B+,89.7,162
Tadeusz,Borkowski,ul. Kujawska ,60,Bydgoszcz,85-146,1939,19,5,13,O+,50.4,145
Wojciecha,Majewska,ul. Odonica Władysława ,92,Bydgoszcz,85-459,2007,6,8,75,B-,69.0,152
Konstanty,Kowalczyk,ul. Altanowa ,91,Radom,26-606,1986,15,5,40,B+,74.0,181
Aureliusz,Kucharski,ul. Profesora Kolbuszewskiego Stanisława ,60,Opole,45-829,2006,30,12,13,B-,49.3,145
Wisława,Zając,ul. Generała Roweckiego Grota Stefana ,120,Gdańsk,80-108,1982,20,11,43,AB+,66.0,160
Mieczysława,Jabłońska,ul. Gałczyńskiego Konstantego Ildefonsa ,28,Białystok,15-712,1975,26,9,62,A+,100.5,171
Michalina,Jasińska,ul. Świętokrzyska ,15,Gdańsk,80-180,1966,27,4,31,A+,49.2,173
Tekla,Zając,ul. Bażyńskiego Jana ,3,Gdańsk,80-309,1973,18,12,52,O+,78.5,158
Bolesława,Wojciechowska,ul. Gminna ,18,Białystok,15-587,1933,29,6,76,A+,57.6,168
Longin,Duda,ul. Goplańska ,146,Szczecin,70-845,2005,20,3,81,A+,75.3,164
Bożydar,Woźniak,ul. Głowackiego Bartosza ,83,Olsztyn,10-447,2002,22,6,42,B+,87.0,187
Anka,Grabowska,ul. Juranda ,112,Lublin,20-956,1949,25,7,30,A+,59.5,169
Kaja,Kucharska,ul. Urocza ,47,Gdańsk,80-077,1976,22,1,21,B-,59.1,168
Maurycy,Zielinski,ul. Noakowskiego ,79,Szczecin,70-380,2007,21,8,43,O+,107.4,175
Zofia,Jaworska,ul. Czwartaków ,78,Ruda Śląska,41-706,1960,31,12,27,B+,60.3,154
Marceli,Król,ul. Ciołkowskiego Konstantego ,74,Warszawa,01-480,1971,26,8,63,O-,72.3,179
Oskar,Chmielewski,ul. Oblęgorska ,61,Warszawa,01-472,1973,12,1,80,A+,79.5,164
Iwan,Gorski,ul. Kwiatowa ,96,Opole,45-569,1968,13,9,79,O+,67.6,179
Błažej,Kalinowski,ul. Trenów ,58,Warszawa,01-941,1954,24,2,78,A+,66.5,163
Wera,Jaworska,ul. Głowackiego Aleksandra ,116,Kędzierzyn-Koźle,47-220,2001,10,3,10,A-,47.9,147
Michalina,Woźniak,ul. Lasogórska ,137,Kraków,30-698,1953,5,2,31,O+,65.6,155
Amadei,Jabłoński,ul. Obrońców ,101,Warszawa,03-933,1973,19,3,11,O-,27.3,144
Frydrych,Jabłoński,ul. Spokojna ,37,Białystok,15-715,1937,29,1,35,O-,82.1,173
Wiola,Rutkowska,ul. Dzidka Warszawiaka ,83,Warszawa,04-743,1971,21,7,42,A+,73.8,167
Dobrosław,Olszewski,ul. Świętojańska ,16,Białystok,15-082,1969,12,12,50,A+,92.0,168
Wiesław,Gorski,ul. Orzechowa ,54,Kraków,30-422,1936,23,4,44,O+,96.5,183
Albina,Zawadzka,ul. Jaworowa ,96,Gdańsk,80-175,2014,11,5,84,O-,82.1,161
Patryk,Maciejewski,ul. Wodna ,24,Szczecin,71-874,1985,11,9,11,O+,46.4,137
Malina,Król,ul. Białobrzeska ,108,Warszawa,02-341,1979,17,4,15,O+,59.0,169
Jolanta,Adamczyk,ul. Jagiełka ,100,Kraków,30-240,1967,24,4,68,O+,91.6,151
Gaweł,Kalinowski,ul. Horeszków ,118,Gdańsk,80-119,1995,10,2,41,O+,103.7,185
Zdzisław,Wojciechowski,ul. 3 Maja ,65,Katowice,40-097,2016,30,5,10,B+,28.3,143
Hainrich,Wieczorek,ul. Przybyszewskiego Stanisława ,71,Łódź,93-120,1946,21,8,57,A+,98.2,177
Gerwazy,Kwiatkowski,ul. Czysta ,146,Bielsko-Biała,43-300,1975,9,2,46,O+,71.1,171
Beata,Jasińska,ul. Księdza Kuczkowskiego Mikołaja ,123,Kraków,31-618,2000,22,10,43,O+,82.2,165
Zosia,Pawłowska,ul. Baczyńskiego Krzysztofa Kamila ,4,Mysłowice,41-404,1937,18,9,48,B+,103.1,162
Kinga,Wojciechowska,ul. Sośnia Góra ,83,Mikołów,43-195,1993,16,8,63,B+,78.0,164
Wiga,Król,ul. Frydrycha Władysława ,102,Bydgoszcz,85-796,1988,8,3,16,B+,60.0,157
Blanka,Nowakowska,ul. Urocza ,26,Łódź,91-495,1945,24,2,64,B+,71.3,152
Róża,Nowak ,ul. Cudne Manowce ,79,Warszawa,03-035,1967,24,4,44,O+,55.7,160
Maryla,Zawadzka,ul. Wieczorka Józefa ,15,Jastrzębie-Zdrój,44-330,1952,13,6,80,O-,96.1,169
Anastazy,Maciejewski,ul. Hodowlana ,127,Wrocław,54-109,2001,13,3,46,O-,91.7,170
Tekla,Dąbrowski ,ul. Brysza Wiktora ,16,Zabrze,41-800,1946,26,11,47,A+,55.5,158
Krzyś,Kowalczyk,ul. Pułkownika Dąbka Stanisława ,124,Kraków,30-732,1936,6,10,80,A-,98.8,183
Krystyn,Adamski,ul. Synów Pułku ,123,Rzeszów,35-507,1961,18,6,3,A+,16.3,90
Bronisław,Piotrowski,ul. Dubrownicka ,20,Wrocław,51-208,2006,14,11,31,A+,92.0,185
Felicyta,Woźniak,ul. Kołodziejska ,52,Łódź,91-046,1958,10,1,38,A+,95.8,166
Izabella,Pawlak,ul. Rowowa ,63,Warszawa/Wesoła,05-077,2002,1,12,49,B+,101.8,161
Kazimiera,Adamska,ul. Keniżanki Władysławy ,40,Łódź,93-346,2016,2,6,22,O+,83.1,161
Bratumił,Chmielewski,ul. Narutowicza Gabriela ,100,Bytom,41-933,1978,24,10,0,O+,3.3,52
Maryla,Kowalska,ul. Krakowska ,118,Przysucha,26-400,1936,11,11,70,A+,90.6,170
Szczęsny,Piotrowski,ul. Waryńskiego Ludwika ,80,Łódź,91-075,1944,30,10,41,O+,112.8,178
Urjasz,Gorski,ul. Powstańców Śląskich ,127,Wrocław,53-332,1979,16,10,16,B+,60.9,168
Celina,Duda,ul. Zamkowa ,127,Opole,45-016,1965,1,10,79,B+,100.4,156
Katarzyna,Borkowska,ul. Podklasztorna ,128,Kielce,25-705,1985,5,10,23,O+,61.0,158
Ireneusz,Nowakowski,ul. Dwusieczna ,96,Warszawa,03-071,1986,12,6,29,A+,108.5,190
